time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	6.95326e-310	0	0	0	0	0	0
1477010443349642	0.0280757	-0.0280757	0	0	0	radar	0.37834	0	0	0	0	0	0
1477010444349642	1.50731	-0.0582534	1.52192	-5.30671e-17	4.87358e-18	lidar	3.94223	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.5965	0.0175152	1.63681	-0.0449863	-0.00539188	radar	3.5467	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.74614	-0.109614	2.52834	-0.62371	-0.105413	lidar	9.89456	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.83695	0.0831989	2.58838	-0.343805	-0.052949	radar	4.52171	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.78304	0.381282	2.76162	0.405187	0.51604	lidar	4.61151	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.71832	0.420284	2.66448	0.416666	0.524954	radar	1.30101	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.1023	0.70258	2.16406	0.264681	0.131364	lidar	6.59097	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.10046	0.763297	2.35586	0.283301	0.14448	radar	1.85238	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5236	1.64964	2.61253	0.417736	0.14031	lidar	0.767802	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5114	1.61806	2.59493	0.405484	0.133089	radar	0.416659	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6366	2.36176	2.27829	0.402938	0.059307	lidar	1.43256	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6676	2.33115	2.41601	0.377561	0.0405963	radar	1.399	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.524	2.92246	2.88252	0.154775	-0.109415	lidar	4.53484	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.4738	2.90892	2.7962	0.157906	-0.107729	radar	0.645846	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0377	3.67025	2.68786	0.254832	0.00566083	lidar	1.04489	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0758	3.68893	2.6434	0.262407	0.0124613	radar	1.53459	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.368	4.70564	2.51129	0.433871	0.103903	lidar	0.835519	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.4401	4.7141	2.69598	0.422579	0.0928187	radar	1.20345	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0458	5.59327	2.76814	0.346882	-0.00330094	lidar	0.758803	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1622	5.62873	2.9771	0.335529	-0.0119671	radar	3.49477	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6492	6.9413	2.82561	0.494068	0.0847715	lidar	0.986729	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.6546	6.93708	2.92383	0.485629	0.0748303	radar	0.537916	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5282	8.09943	3.11479	0.388062	-0.0273041	lidar	1.27052	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5181	8.09983	3.07854	0.391105	-0.0249795	radar	0.0646489	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9847	9.84127	2.98295	0.634759	0.130075	lidar	1.89474	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.9427	9.82174	2.94816	0.63289	0.128147	radar	0.817	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.5886	10.7801	2.72865	0.375553	-0.0952331	lidar	4.1313	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.6878	10.8164	2.89949	0.360396	-0.105457	radar	2.6617	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.174	12.0618	2.80071	0.428716	-0.00591797	lidar	0.883414	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.2527	12.0869	2.95376	0.425875	-0.00960105	radar	1.5635	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.2557	13.4369	3.32395	0.417715	-0.0106881	lidar	1.59113	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.1832	13.4184	3.14151	0.425983	-0.00331107	radar	1.29367	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7998	14.8276	3.0066	0.499529	0.0415113	lidar	0.369599	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
